date,hits,keyword,geo,time,gprop,category,movie
2025-04-06,48,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-13,48,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-20,61,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-27,58,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-04,54,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-11,48,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-18,43,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-25,37,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-01,43,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-08,44,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-15,44,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-22,49,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-29,42,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-06,51,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-13,50,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-20,65,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-27,71,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-03,78,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-10,100,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-17,88,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-24,64,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-31,67,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-07,65,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-14,51,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-21,54,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-28,53,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-05,51,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-12,45,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-19,58,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-26,48,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-02,46,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-09,50,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-16,46,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-23,51,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-30,58,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-07,52,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-14,57,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-21,58,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-28,64,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-04,53,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-11,66,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-18,64,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-25,67,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-01,63,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-08,76,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-15,70,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-22,56,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-01,50,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-08,42,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-15,62,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-22,91,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-29,70,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-04-05,66,Deadpool & Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-06,74,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-13,79,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-20,83,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-27,100,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
