movie,month,mentions,n_posts,n_comments,avg_sentiment,positive_share,negative_share,neutral_share,avg_text_length,net_sentiment,engagement_ratio,log_mentions,hype_score,sentiment_volatility,month_date,google_hits,target_google_hits_next
Deadpool & Wolverine,2025-05,11,0,11,0.7272727272727273,0.36363636363636365,0.0,0.6363636363636364,355.1818181818182,0.36363636363636365,1.0,2.4849066497880004,4.0,0.0,2025-05-01,60.875,68.5
Deadpool & Wolverine,2025-07,35,1,34,0.2571428571428571,0.2,0.05714285714285714,0.7428571428571429,270.2,0.14285714285714288,0.9714285714285714,3.58351893845611,5.000000000000001,0.4701298701298702,2025-07-01,68.5,77.4
Deadpool & Wolverine,2025-08,5,0,5,-0.6,0.0,0.2,0.8,711.2,-0.2,1.0,1.791759469228055,-1.0,0.8571428571428571,2025-08-01,77.4,61.0
Deadpool & Wolverine,2025-12,2,0,2,0.5,0.5,0.0,0.5,199.0,0.5,1.0,1.0986122886681098,1.0,1.1,2025-12-01,61.0,61.375
Dune 2,2025-04,3,0,3,1.0,1.0,0.0,0.0,425.6666666666667,1.0,1.0,1.3862943611198906,3.0,0.0,2025-04-01,21.875,21.375
Dune 2,2025-05,2,0,2,0.5,0.5,0.0,0.5,167.5,0.5,1.0,1.0986122886681098,1.0,0.5,2025-05-01,21.375,25.7
Dune 2,2025-06,2,0,2,0.0,0.0,0.0,1.0,63.5,0.0,1.0,1.0986122886681098,0.0,0.5,2025-06-01,25.7,27.25
Dune 2,2025-07,23,1,22,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.7391304347826086,175.95652173913044,0.0,0.9565217391304348,3.1780538303479458,0.0,0.08695652173913043,2025-07-01,27.25,35.6
Dune 2,2025-08,1,0,1,0.0,0.0,0.0,1.0,101.0,0.0,1.0,0.6931471805599453,0.0,0.08695652173913043,2025-08-01,35.6,33.75
Dune 2,2025-12,1,0,1,1.0,1.0,0.0,0.0,577.0,1.0,1.0,0.6931471805599453,1.0,1.0,2025-12-01,33.75,57.6
Dune 2,2026-03,1,1,0,0.0,0.0,0.0,1.0,144.0,0.0,0.0,0.6931471805599453,0.0,1.0,2026-03-01,57.6,37.5
