movie,month,google_hits
Deadpool & Wolverine,2025-04,68.875
Deadpool & Wolverine,2025-05,60.875
Deadpool & Wolverine,2025-06,55.6
Deadpool & Wolverine,2025-07,68.5
Deadpool & Wolverine,2025-08,77.4
Deadpool & Wolverine,2025-09,58.375
Deadpool & Wolverine,2025-10,52.25
Deadpool & Wolverine,2025-11,51.5
Deadpool & Wolverine,2025-12,61.0
Deadpool & Wolverine,2026-01,67.375
Deadpool & Wolverine,2026-02,61.375
Deadpool & Wolverine,2026-03,59.5
Deadpool & Wolverine,2026-04,62.0
Dune 2,2025-04,21.875
Dune 2,2025-05,21.375
Dune 2,2025-06,25.7
Dune 2,2025-07,27.25
Dune 2,2025-08,35.6
Dune 2,2025-09,27.125
Dune 2,2025-10,25.5
Dune 2,2025-11,26.4
Dune 2,2025-12,33.75
Dune 2,2026-01,34.875
Dune 2,2026-02,32.25
Dune 2,2026-03,57.6
Dune 2,2026-04,37.5
