movie,author,degree_centrality,betweenness_centrality,in_degree,out_degree
Deadpool & Wolverine,[deleted],0.1101,0.0995,18,29
Deadpool & Wolverine,ByClaytonDavis,0.1335,0.0564,31,26
Deadpool & Wolverine,samx3i,0.1101,0.0397,30,17
Deadpool & Wolverine,Way-of-Kai,0.0843,0.0288,25,11
Deadpool & Wolverine,LiteraryBoner,0.0609,0.0212,25,1
Deadpool & Wolverine,mikeyfreshh,0.0211,0.0187,5,4
Deadpool & Wolverine,PoeBangangeron,0.0445,0.0161,16,3
Deadpool & Wolverine,GamingTatertot,0.0304,0.0142,5,8
Deadpool & Wolverine,ICumCoffee,0.0234,0.0052,5,5
Deadpool & Wolverine,ThePirates123,0.0117,0.0039,2,3
Deadpool & Wolverine,drewhjava,0.0562,0.0037,22,2
Deadpool & Wolverine,periphrasistic,0.0211,0.0036,6,3
Deadpool & Wolverine,Correct_Sport9839,0.0187,0.0036,5,3
Deadpool & Wolverine,KingMario05,0.0141,0.0035,4,2
Deadpool & Wolverine,MartinScorsese,0.0141,0.0033,2,4
Deadpool & Wolverine,EnvironmentalMix421,0.0117,0.0033,2,3
Deadpool & Wolverine,thats_handy,0.0141,0.0025,5,1
Deadpool & Wolverine,LordOfCows,0.0141,0.0024,4,2
Deadpool & Wolverine,Rock-swarm,0.0117,0.002,3,2
Deadpool & Wolverine,Bhu124,0.0117,0.0019,3,2
Deadpool & Wolverine,Sharktoothdecay,0.0117,0.0018,4,1
Deadpool & Wolverine,IanMaIcolm,0.0141,0.0018,2,4
Deadpool & Wolverine,DharmaLookingGlass,0.0117,0.0016,3,2
Deadpool & Wolverine,2th,0.0047,0.0016,1,1
Deadpool & Wolverine,Comic_Book_Reader,0.0047,0.0016,1,1
Deadpool & Wolverine,In_My_Own_Image,0.0117,0.0013,3,2
Deadpool & Wolverine,thewarehouse,0.0117,0.0013,3,2
Deadpool & Wolverine,TheShadowOperator007,0.0656,0.0012,27,1
Deadpool & Wolverine,badgarok725,0.007,0.0012,2,1
Deadpool & Wolverine,Marcysdad,0.0094,0.0012,1,3
Deadpool & Wolverine,elmatador12,0.0047,0.0012,1,1
Deadpool & Wolverine,greg225,0.0094,0.0012,3,1
Deadpool & Wolverine,artpayne,0.0094,0.0012,3,1
Deadpool & Wolverine,entertainmentlord,0.0539,0.0012,20,3
Deadpool & Wolverine,pearlz176,0.0117,0.0011,3,2
Deadpool & Wolverine,charlyquestion,0.007,0.0011,1,2
Deadpool & Wolverine,4ps22,0.0047,0.0011,1,1
Deadpool & Wolverine,Jaxonian,0.0117,0.0009,4,1
Deadpool & Wolverine,TequilaMockingb1rd,0.007,0.0009,2,1
Deadpool & Wolverine,Accomplished-Head449,0.0094,0.0007,2,2
Deadpool & Wolverine,behemuthm,0.0164,0.0007,3,4
Deadpool & Wolverine,Firvulag,0.0094,0.0006,2,2
Deadpool & Wolverine,InoueNinja94,0.0094,0.0006,1,3
Deadpool & Wolverine,HORSEthedude619,0.007,0.0006,1,2
Deadpool & Wolverine,PayneTrain181999,0.0047,0.0006,1,1
Deadpool & Wolverine,Movies_Music_Lover,0.0117,0.0006,2,3
Deadpool & Wolverine,Visser150,0.0047,0.0006,1,1
Deadpool & Wolverine,Michael_DeSanta,0.0047,0.0006,1,1
Deadpool & Wolverine,Upbeat_Tension_8077,0.0047,0.0006,1,1
Deadpool & Wolverine,pizzabyAlfredo,0.0047,0.0006,1,1
Deadpool & Wolverine,RIP_Greedo,0.007,0.0006,2,1
