movie,week_start,weekly_box_office,total_box_office
Deadpool & Wolverine,2024-07-22,298575919.0,298575919.0
Deadpool & Wolverine,2024-07-29,141580463.0,440156382.0
Deadpool & Wolverine,2024-08-05,76660513.0,516816895.0
Deadpool & Wolverine,2024-08-12,42086471.0,558903366.0
Deadpool & Wolverine,2024-08-19,25437751.0,584341117.0
Deadpool & Wolverine,2024-08-26,22496623.0,606837740.0
Deadpool & Wolverine,2024-09-02,9457904.0,616295644.0
Deadpool & Wolverine,2024-09-09,7088981.0,623384625.0
Deadpool & Wolverine,2024-09-16,5215484.0,628600109.0
Deadpool & Wolverine,2024-09-23,3713236.0,632313345.0
Dune 2,2024-02-26,111027668.0,111027668.0
Dune 2,2024-03-04,65190249.0,176217917.0
Dune 2,2024-03-11,39540626.0,215758543.0
Dune 2,2024-03-18,25531484.0,241290027.0
Dune 2,2024-03-25,16368560.0,257658587.0
Dune 2,2024-04-01,10125478.0,267784065.0
Dune 2,2024-04-08,5908848.0,273692913.0
Dune 2,2024-04-15,4068496.0,277761409.0
Dune 2,2024-04-22,2797322.0,280558731.0
Dune 2,2024-04-29,1044460.0,281603191.0
Dune 2,2024-05-06,541167.0,282144358.0
